t_s,est_n_m,est_e_m,est_vn_mps,est_ve_mps,est_bax_mps2,est_bay_mps2,height_used_m,flow_vn_mps,flow_ve_mps,flow_valid,flow_reason,safety_mode,warnings,innov_vn_mps,innov_ve_mps,true_n_m,true_e_m,true_vn_mps,true_ve_mps,true_alt_m,of_quality,texture_class
0.51,0.009528125362367407,0.06076847699939369,0.04123495992161627,0.12555013037124413,0.004783688779932561,-0.0009574016118636423,1.0805063005574462,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0105464960226116,0.0548381467503175,0.0401981004848183,0.1105193683936622,1.0720162854081212,,textured_floor
0.52,0.009671308628064784,0.059054716511165346,0.040134698489801675,0.11871936037675183,0.005264567381919667,0.0040133406259186604,1.0868965084550513,0.031107693930967382,0.01814846809738148,1,OK,OP_VALID,,-0.009676982311897554,-0.1078123689133152,0.0109560598006901,0.0559451440106294,0.0409563778078507,0.11069972603119,1.0724344716804763,208.283664682478,textured_floor
0.53,0.010074925081846745,0.0602436954961553,0.040588592266590125,0.11907643662123779,0.005264567381919667,0.0040133406259186604,1.0670373125870831,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0113731891242778,0.0570539336400438,0.0417129323587706,0.1108789629414477,1.0728518797973752,,textured_floor
0.54,0.010482510103393386,0.0614325721020382,0.040928412042738144,0.11869888455534308,0.005264567381919667,0.0040133406259186604,1.0992728225978048,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0117978664536476,0.0581645043629837,0.0424677329369763,0.1110570722939848,1.073268495614944,,textured_floor
0.55,0.010892701042981498,0.06262745137021394,0.04110977587488433,0.12027696907980531,0.005264567381919667,0.0040133406259186604,1.104751008108671,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0122300739381542,0.0592768448357493,0.0432207484506663,0.1112340472765563,1.0736843050356453,,textured_floor
0.56,0.010368194811982742,0.06374629755692716,0.0393971974223268,0.11949025233185298,0.006893274604947782,0.0041417822189340325,1.0904928477117761,0.012815459579136664,0.11719420535250878,1,OK,OP_VALID,,-0.028789734985226044,-0.002486766833639617,0.0126697934173418,0.0603909436467028,0.0439719479187544,0.1114098810953527,1.0740992940091003,215.49409630349837,textured_floor
0.5700000000000001,0.010771605799630235,0.06494075357513403,0.0412850001071719,0.11940095130952093,0.006893274604947782,0.0041417822189340325,1.0909386456608379,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0131170064220695,0.0615067893164551,0.0447213004727782,0.1115845669752289,1.074513448532909,,textured_floor
0.58,0.011184407843928091,0.06613723363167384,0.04127540875239995,0.11989505999844412,0.006893274604947782,0.0041417822189340325,1.0490234871193438,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0135716941756575,0.0626243702980544,0.0454687753587988,0.1117580981599334,1.0749267546534644,,textured_floor
0.59,0.011604428469387175,0.06733974865852235,0.042728716339416786,0.12060794537125859,0.006893274604947782,0.0041417822189340325,1.0555463900744653,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0140338375950505,0.0637436749771778,0.0462143419392934,0.1119304679123363,1.0753391984667662,,textured_floor
0.6,0.011940666250818511,0.06809590298329393,0.041855052737502445,0.12056122652044601,0.007056387965953824,0.004953467557608702,1.074485459968042,0.03976331760996594,0.10970303704687165,1,OK,OP_VALID,,-0.0022922430173693206,-0.011899025203725017,0.0145034172920009,0.0648646916723243,0.0469579696950392,0.1121016695146574,1.0757507661192318,221.79383147965328,textured_floor
0.61,0.01236126747468195,0.06930310938258742,0.04226519203518553,0.12088005333825216,0.007056387965953824,0.004953467557608702,1.0663058350300971,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0149804135742708,0.0659874086350113,0.0476996282269905,0.1122716962686931,1.0761614438085028,,textured_floor
0.62,0.012787919348597432,0.07051601265869281,0.0430651827479109,0.12170060188282551,0.007056387965953824,0.004953467557608702,1.0859491154213963,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0154648064468522,0.0671118140499717,0.0484392872581457,0.1124405414960441,1.0765712177842477,,textured_floor
